題目,A,B,C,D,複選,答案,詳解
"下列哪一項不是阻斷式服務攻擊（Denial-of-Service Attack）？","利用程式漏洞消耗 100%的 CPU 運算能力","向系统持續發送惡意封包，導致主機當機","寄送釣魚郵件給公司所有人員","向某個電子郵件地址發送成千上萬封電子郵件",0,"C",""
"下列何種安全機制最弱？","WEP","WPA","WPA2-Personal","WPA2-Enterprise",0,"A",""
"下列敘述何者正確？","巨集病毒只會感染 Excel 檔案，但不會感染 Word 檔案","開機型病毒藏匿於硬碟非主要開機磁區","非常駐型病毒將自己寄生在 .COM、.EXE 或是 *.SYS 的檔案中","檔案型病毒只會感染 .COM 檔",0,"C",""
"請問防火牆的功能為？","檢核原始碼安全","保護網路安全","保護實體安全","保護人員安全",0,"B",""
"下列何者是一般管理員採用動態路由協定（Dynamic Routing Protocol）以取代靜態路由（Static Routes）的主要理由？","動態路由的路由器負載較輕","動態路由能夠延展到較大的網絡","動態路由較安全","動態路由有較快的網路傳輸能力",0,"B",""
"下列何種網路攻擊「不會」造成伺服器主機系統處理效率下降或發生錯誤？","死亡偵測攻擊（Ping-of-Death Attack）","分割重組攻擊（Teardrop Attack）","分散式攻擊（Distributed Attack）","中間人攻擊（Man-In-The-Middle Attack）",0,"D",""
"「檢查來源端及目的端的 IP 位址、埠號（Port），若有符合網路安全管理人員所設定的安全規則就准許通過，否則拒絕其進入。」請問此為何種防火牆？","應用代理閘道（Application-Proxy）防火牆","狀態檢查（Stateful inspection）防火牆","封包過濾（Packet Filter）防火牆","個人（Personal）防火牆",0,"C",""
"在電子商務的交易過程中，可以運用「電子簽章技術」來確保資訊的哪一種特性？","可測試性","可維護性","不可否認性","易使用性",0,"C",""
"「虛擬私有網路（VPN）」主要是透過什麼技術來建立網路上的安全通訊連線？","通道（Tunnel）技術","資料壓縮技術","調變與解調變技術","無線通訊技術",0,"A",""
"TCP/IP 通訊協定中，負責提供定址與路由工作的是哪一層之任務？","應用層","表達層","傳輸層","網路層",0,"D",""
"請問常見的 DNS 資源記錄類型 CNAME 為？","IPv4 主機位址","文字字串","郵件交換","別名",0,"D",""
"公司管理人員正在設定交換器，需要確保只有授權裝置才可存取公司網路，下列何者為最安全的做法？","設定 MAC 篩選基礎的連接埠安全性（Port Security）","使用 802.1x","創造每個裝置的 VLAN","啟用 BPDU Guard 功能",0,"B",""
"基於系統安全的基礎，系統管理者對所管理之伺服器應進行相關安全性設定，下列敘述何者正確？","系統上線後仍保留預設帳戶","使用系統預設開啟的連接埠","錯誤訊息應開放詳細資訊以便問題修正","過期的 OS、Web/App Server、DBMS、API、函式庫等，應評估並更新",0,"D",""
"作業系統安裝好之後，為避免因安全因素導致遭受駭客入侵，應採取下列何項措施較佳？","更新病毒碼","更新修補程式","更新防火牆設定","更新入侵偵測系統",0,"B",""
"下列何者並非攻擊者入侵主機後，常見使用來下載外部後門的指令？","PING","WGET","CURL","FTP",0,"A",""
"Windows 10 電腦允許所有員工登入，但想禁止一般員工使用 USB 行動碟，管理員應利用何種工具？","本機群組原則","磁碟重組工具","行動裝置管理員","具有進階安全性的 Windows 防火牆",0,"A",""
"下列何者不是微軟 Windows 作業系統中，具特權權限之帳號？","Administrator","root","在 Administrators 群組中之一般使用者帳號","Local System",0,"B",""
"開發者暴露了內部檔案、金鑰或資料庫紀錄為 URL/Form 參數，使攻擊者可藉此擅自進入其他 Objects 中，此為哪項風險？","跨站腳本攻擊（XSS）","API 未受防護（Underprotected APIs）","注入攻擊（Injection）","無效的存取控制（Broken Access Control）",0,"D",""
"下列何者不是 Blind SQL Injection 的特性？","SQL 錯誤資訊會顯示在頁面中","SQL 錯誤資訊不會顯示在頁面中","常利用 wait for delay 語法測試","常與 Time base SQL injection 一起發生",0,"A",""
"下列何者不是網頁攻擊手法？","Cross-Site Scripting","SQL Injection","Parameterized Query","Cross-Site Request Forgery",0,"C",""
"作業系統訂定的資訊安全策略中，何種安全模式由管理者統一進行檔案存取授權？","自由存取控制（DAC）","強制存取控制（MAC）","角色存取控制（RBAC）","屬性存取控制（ABAC）",0,"B",""
"將 HTML 或 Script 指令插入網頁中，造成使用者瀏覽時執行惡意程式，屬於何種攻擊？","資料隱碼攻擊（SQL injection）","跨站請求偽照（CSRF）","跨網站腳本攻擊（XSS）","搜尋引擎攻擊（Google Hacking）",0,"C",""
"關於跨站請求偽造（CSRF），下列何者是最佳解決辦法？","加入 HttpOnly","過濾不必要特殊字元","加入圖形驗證碼","使用 HTTPS",0,"C",""
"下列何者為防禦 Cross-Site Scripting (XSS) 的最佳方式？","輸入參數黑名單過濾","輸入參數白名單過濾","輸入參數長度過濾","輸出頁面過濾",0,"B",""
"HTTP Cookie 的用途是？","在瀏覽器中儲存資訊（如 Session ID 等）","瀏覽器的設定檔","幫助防禦 XSS 攻擊","幫助防禦 XML Injection 攻擊",0,"A",""
"使用反組譯器、除錯器、反編譯器可檢查哪種程式碼弱點？","缺乏逆向工程保護","注入缺失","跨網站指令碼","不安全的物件參考",0,"A",""
"下列何者不是 Windows 安全開發必須注意的地方？","Socket 設計","多執行緒設計","常駐程式設計","封包流量設計",0,"D",""
"下列何者並非防毒軟體偵測的方式？","特徵碼掃描","檔案完整性掃描","沙箱檢測","程式碼檢核",0,"D",""
"關於弱點掃描，下列敘述何者不正確？","可能會觸發入侵偵測系統警告","可作為滲透測試的前置作業","Ping 工具可作為前置作業之一","部署 WAF 後即可避免遭受弱點掃描探測",0,"D",""
"下列哪些是 rootkits 的主要特性？(1)取得最高權限 (2)具隱藏性 (3)在系統內大量自我複製 (4)讓駭客可遠端控制","(1)(2)(3)","(1)(2)(4)","(2)(3)(4)","(1)(2)(3)(4)",0,"B",""
"老闆要求立即更新所有系統的嚴重漏洞修正檔，最佳做法為？","立即套用所有系統","先測試無誤後再行修補","先更新防毒軟體再行修補","先執行弱點掃描再行修補",0,"B",""
"下列何者不是電腦病毒的傳染途徑？","經由網路下載的軟體","經由電子郵件附件","經由應用程式存取資料庫資料","經由已被感染的可移式媒體",0,"C",""
"關於備份管理作業，下列敘述何者不正確？","需排定備份計畫並定期執行","備份結果之相關作業紀錄須留存","規劃備份應含系統設定、應用程式、資料庫等","備份資料回復測試結果只需記錄於本機紀錄檔",0,"D",""
"哪個資訊儲存媒體不太適合企業作大量資料備份？","LTO Tape","SD Memory Card","Disk Array","Tape Library",0,"B",""
"備份資料進行復原時，若發現無法還原，可能是在哪個環節有問題？","未設定適當 RTO","備份時間過長影響可靠度","未定期進行復原測試","未訂定備份頻率",0,"C",""
"為確保公司備份資料之完整性，下列何者方式最佳？","加解密","身分驗證","雜湊計算","資訊隱藏",0,"C",""
"組織上班尖峰 9-12, 13-17，備份最佳策略為？","12:00 完全備份，20:00 差異備份","12:00 差異備份，20:00 完全備份","10:00 完全備份，15:00 差異備份","10:00 差異備份，15:00 完全備份",0,"B",""
"關於 Syslog 系統日誌，下列何者不正確？","Syslog 用於 TCP/IP 網路傳遞記錄檔訊息的標準","Syslog 可用 UDP/TCP 傳送","通常用於系統管理與資安稽核","Syslog 僅能明碼傳輸，無法用 SSL/TLS 加密",0,"D",""
"關於「系統日誌」之適當保護措施，下列何者不正確？","不須記錄使用者識別碼以防個人隱私外洩","防止系統日誌被未授權存取","防範日誌被修改或刪除","防範超過媒體容量時產生的錯誤",0,"A",""
"「主要記錄系統本身登入/登出行為(如系統管理員遠端登入)」屬於哪個記錄檔功能？","系統日誌檔","應用程式日誌檔","安全性日誌檔","網路日誌檔",0,"C",""
"「留存日誌」是為了達成資訊安全的何種特性？","機密性","可用性","可靠性","不可否認性",0,"D",""
"關於雲端蜜罐（Honeypot）技術，下列何者不正確？","攻擊蜜罐的行為都是可疑的","通常設置在真正運作環境之中","偽裝成有價值的網路/資料/系統，引誘駭客攻擊","為取得電腦病毒樣本的方法之一",0,"B",""
"雲端服務安全管理需考量，下列何者不是必須？","選擇單一雲端服務供應商","稽核權利納入合約","稽核人員需熟悉雲端服務與法規","要求服務商定期審查、更新、發佈資安相關流程與文件",0,"A",""
"使用雲端 Http 服務時，伺服器回傳 404 是何種情況？","Not Found，請求失敗，資源未被發現","OK，請求已成功","Gateway Timeout，未及時取得回應","I'm a teapot",0,"A",""
"關於行動裝置的安全防護，下列何者不正確？","充電應儘量使用變壓器座充","應設置密碼或鎖屏","應避免安裝來路不明程式","行動裝置不會中毒，不必安裝防毒 App",0,"D",""
"提高行動裝置連線安全，下列何者不正確？","不需 GPS 時關閉","免費 Wi-Fi 直接用，不需了解提供者","藍牙無需求時關閉","公眾充電時，關閉相關傳輸功能",0,"B",""
"關於 HCE（Host Card Emulation）行動支付安全，下列敘述何者不正確？","從雲端平台取得的金鑰有時效性","無需挑選通過服務平台安全認證的手機","手機無需具備安全元件來儲存支付資訊","需更換具備安全防護之特殊 SIM 卡才能支援",0,"D",""
"在物聯網裡，因外來超強訊號干擾產生「蓋臺」現象，屬於哪類攻擊手法？","中間人攻擊","資料隱碼攻擊（SQL Injection）","隱藏欄位攻擊","阻斷服務攻擊（DoS）",0,"D",""
"物聯網中採用安全性不高之通訊協定，駭客可進行何種攻擊？(1)中間人 (2)TCP/IP 劫持 (3)重播 (4)垃圾搜尋","(1)(2)(3)","(1)(2)(4)","(1)(3)(4)","(2)(3)(4)",0,"A",""
"物聯網安全漏洞有許多因素，下列何者不正確？","物聯網軟體組件安全不足，應將安全納入設計","物聯網需不斷更新與漏洞管理","安全必須建立在經驗證過的機制上","物聯網技術必須藏在黑盒子內，過於透明會更高風險",0,"D",""
