題目,A,B,C,D,複選,答案,詳解
"下列哪一種攻擊手法，主要目的是在破壞「機密性」？","(1) 社交工程 / (2) Google-Hacking","(3) 拒絕服務 / (4) 駭客侵入資料庫竄改存款","(2)(3)(4)","(1)(2)(4)",0,"A",""
"「無論是資源、通訊、資料或資訊等，只能讓經授權的使用者使用」代表哪一種意義？","機密性（Confidentiality）","完整性（Integrity）","可用性（Availability）","可讀性（Readability）",0,"A",""
"建立資訊系統資料備份機制，與下列何者關聯性最高？","可歸責性（Accountability）","可用性（Availability）","完整性（Integrity）","機密性（Confidentiality）",0,"B",""
"系統安全程序或設計、裝置或內部控制的一個瑕疵或缺點，若被運用會破壞安全性或違背安全政策，NIST SP800-30 對何者定義？","威脅（Threat）","弱點（Vulnerability）","風險（Risk）","衝擊（Impact）",0,"B",""
"關於文件管制措施，下列敘述何者正確？","所有 SOP 必須書面發行","不宜以電子檔案公佈管理制度或程序","管理制度程序需所有人皆可閱讀","文件管制宜訂定標準作業程序，利組織成員遵循",0,"D",""
"關於資訊安全政策的審查，下列敘述何者不正確？","資安政策應定期審查","法令有重大變更時應審查","公司營業項目有重大改變時應審查","政策審查由資訊主管單獨進行即可",0,"D",""
"在 ISMS 維運過程中，「文件化資訊」是必要，下列何者不是所有文件化資訊需確保的事項？","需有可識別的方式（標示標題與日期）","發行需文件管理人員審查後再公佈","在需要時可提供給相關人員","需受到適切保護以避免不當使用或外洩",0,"B",""
"資訊安全政策是 ISMS 的最高指導原則，下列敘述何者正確？","滿足要求後無需持續改善","屬四階管理文件中的第二階管理程序文件","建立資訊安全政策必須符合組織目的及資安目標","屬於內部或機密文件不可對外公告",0,"C",""
"資訊資產群組化可簡化風險評鑑時間，減少重複判斷。下列何者不宜群組化為同類型？","機房內的所有主機","同部門的工作電腦","識別門禁卡","系統開發規格書",0,"A",""
"進行資產分類屬於下列何種安全控管類型？","預防性控制（Preventive）","檢測性控制（Detective）","指令性控制（Directive）","糾正性控制（Corrective）",0,"A",""
"資訊資產價值需考量 CIA，下列何種情況應該提高可用性？","官網遭竄改","未授權存取人事資料","電腦安裝免費軟體","ERP 系統當機",0,"D",""
