題目,A,B,C,D,複選,答案,詳解
"下列何者非社交工程攻擊方式？","利用電子郵件誘騙使用者登入偽裝之網站以騙取帳號及通行碼","利用程式設計缺陷，向程式寫入錯誤的內容","利用即時通訊軟體如 LINE，偽裝親友來訊，誘騙點選連結後中毒","利用電話佯裝資訊人員，騙取帳號及通行碼",0,"B",""
"下列哪個協定較為安全？","HTTP","FTP","SSL","TELNET",0,"C",""
"短時間內傳送大量的封包給另一部電腦的攻擊方式，稱之為？","木馬程式或殭屍病毒","釣魚郵件攻擊","阻斷服務攻擊","中間人攻擊",0,"C",""
"請問 SSH 常見的服務 Port 為？","22","23","24","25",0,"A",""
"公司管理員打算利用 IPSec 來確保封包內容傳輸的私密性（Confidentiality），請問需使用何項協定？","AH","ESP","IKE","ISAKMP",0,"B",""
"在未經授權的情況下取得網路傳輸資料，或者針對傳輸網路進行流量分析，此行為屬於下列何者？","截斷（Interruption）","竊取（Interception）","偽造（Fabrication）","篡改（Modification）",0,"B",""
"網際網路中主要的通訊協定模式有兩種 OSI 7 層及 TCP/IP 協定組，請問負責傳輸封包及選擇路徑的是哪一層？","實體層（Physical Layer）","資料鏈結層（Data-Link Layer）","網路層（Network Layer）","應用層（Application Layer）",0,"C",""
"下列何者不是應用在「虛擬私有網路」（VPN）上的通訊協定？","TFTP","PPTP","IPSEC","SSL",0,"A",""
"請問 TCP/IP 通訊協定中，負責提供分段排序、錯誤控制、流量控制等工作的是哪一層？","應用層","會議層","傳輸層","網路層",0,"C",""
"關於跨站腳本攻擊（XSS），下列敘述何者正確？","過濾雙引號之符號","使用 URL Encode","使用正規表達式","使用 HTML Encode",0,"D",""
"請問下列何者非 SYN SCAN 的優點？","快速及可靠","雜訊少","所有平台皆準確","不會被偵測",0,"D",""
"公司的資安人員想要「安全」地監控網路上所有交換器和路由器的狀態，需要在設備上設定哪個協定？","STP","VLAN","MPLS","SNMPv3",0,"D",""
"下列何者不是資料外洩時，短期內所應採取的補救措施？","評估造成傷害的風險","立即收集外洩事故的重要資料","採取適當措施，制止資料外洩","執行資訊事故安全教育訓練",0,"D",""
"當作業系統中兩個程式因互相搶用資源而造成均無法完成工作之結果，稱為？","碰撞（Collision）","死結（Deadlock）","佇列（Queue）","欺騙（Spoof）",0,"B",""
"請問 ssh 公私鑰存在 Linux 哪個目錄？","/.ssh","/home","/etc","user",0,"A",""
"下列何項 Windows 功能可封鎖未授權程式自動安裝、避免誤變更系統設定，即使系統管理員也須同意或驗證？","具有進階安全性的 Windows 防火牆","使用者帳戶控制（UAC）","資源監視器（Resource Monitor）","Windows Secondary Logon",0,"B",""
"下列何者非登入作業系統可使用的網路身分驗證服務？","Windows AD（Active Directory）","LDAP（Lightweight Directory Access Protocol）","NIS（Network Information Service）","DHCP（Dynamic Host Configuration Protocol）",0,"D",""
"關於資安組織 OWASP（開放 Web 軟體安全計畫），下列敘述何者不正確？","是一個開放社群、營利性組織","研議並解決 Web 軟體安全標準、工具、技術文件","長期協助政府或企業改善網頁應用程式與服務的安全性","美國 FTC 強烈建議所有企業遵循 OWASP 十大弱點防護守則",0,"A",""
"下列何者不是常見的 SQL Injection 自動化工具？","BEEF Framework","SQLMAP","BSQL","Bobcat",0,"A",""
"下列何者不是 Server-side Injection 攻擊手法？","Blind SQL Injection","Hibernate Injection","Command Injection","XSS Injection",0,"D",""
"請問哪種安全模式中，「檔案持有者」可授權決定「其他使用者」存取該檔的權限？","自由存取控制（DAC）","強制性存取控制（MAC）","角色存取控制（RBAC）","屬性存取控制（ABAC）",0,"A",""
"用在入侵並取得系統管理員權限，具有隱藏與遠端操控能力，也常被病毒、間諜軟體用來隱藏蹤跡的工具為？","Cookie","Rootkit","Backdoor","Phishing",0,"B",""
"防止 XSS 攻擊需過濾特殊字元，下列何者不是我們應該過濾的特殊字元？","#","&","“","||",0,"D",""
"防禦 SQL Injection 的最佳方式為何？","黑名單過濾","參數長度過濾","輸出過濾","Prepared Statement",0,"D",""
"下列哪種方法可讓開發者發現網頁程式碼是否存在輸入驗證漏洞？","反組譯應用程式執行碼","迴歸測試（Regression Testing）","模糊測試（Fuzz Testing）","使用除錯器（Debugger）逐步執行",0,"C",""
"網頁中使用驗證碼 (CAPTCHA) 主要可防禦下列何種攻擊？","SQL 注入攻擊","跨站腳本攻擊 (XSS)","緩衝區易位攻擊 (Buffer Overflow)","跨站偽造請求攻擊 (CSRF)",0,"D",""
"下列何者屬於開發安全方面需注意的問題？","部署時考量伺服器效能，避免影響效能","應用程式必須使用多線程以支援即時存取","應用程式必須考量是否有 SQL 注入漏洞","應用程式必須考量 License 限制",0,"C",""
"請問下列何種管控技術較「不」適合用來作為身分認證使用？","SNMP（Simple Network Management Protocol）","RADIUS（Remote Authentication Dial In User Service）","LDAP（Lightweight Directory Access Protocol）","TACACS（Terminal Access Controller Access-Control System）",0,"A",""
"透過 ID 與密碼登入系統時，所使用的 ID 目的為下列何者？","認證","授權","負責","識別",0,"D",""
"憑證記載了個人資料、公開金鑰、憑證單位名稱、數位簽章、憑證有效期限及用途等資訊，下列何者「不」是特性？","完整性（Integrity）","不可否認性（Non-Repudiation）","身分識別（Authentication）","可用性（Availability）",0,"D",""
"關於智慧卡（Smart Card），下列敘述何者較「不」正確？","智慧卡可攜帶方便","智慧卡不會遭到實體攻擊","智慧卡可儲存人腦無法記憶的長密碼","多數智慧卡三次 PIN 輸入錯誤即鎖卡",0,"B",""
"遠端用戶撥入驗證服務（RADIUS）為 AAA 三種服務之網路傳輸協議，下列何者「不」正確？","Authentication","Authorization","Access","Accounting",0,"C",""
"下列何種技術最常用於檔案完整性（Integrity）檢查？","ECC","MD5","RSA","AES",0,"B",""
"關於古典密碼學技術與現代密碼學技術，下列敘述何者較「不」正確？","凱薩（Caesar）演算法為早期古典密碼技術","現代密碼學的加密演算法不可公開","AES 加密演算法屬於現代密碼學技術","柵欄（Rail Fence）演算法在古典密碼學即已出現",0,"B",""
"下列何種機制「不」可用於加密及解密？","AES（Advanced Encryption Standard）","DES（Data Encryption Standard）","RSA（Rivest–Shamir–Adleman）","MD5（Message-Digest Algorithm）",0,"D",""
"依據國家資通安全通報應變作業中所訂定的資安事件影響等級，共分為幾種等級？","4 級","5 級","3 級","7 級",0,"A",""
"關於企業組織遭遇 DoS 或 DDoS 攻擊的常見特徵，下列敘述何者「不」正確？","網路頻寬滿載","網通設備或防火牆不堪負載","電腦與伺服器作業系統或服務超載","網站內容只有影片無法播放",0,"D",""
"重大資安事故通常會分析其根本原因（Root Cause），最主要目的在於下列何者？","找出避免相同事故再次發生之處置方法","懲處相關人員","可能需要進行數位鑑識（Forensic）","縮短當下的應變時間",0,"A",""
"證據保管鏈（Chain of Custody）為提供證據相關文件證明之程序，若要確保其完整性可使用何者？","SHA-256","X.509","WPA2","TLS 1.3",0,"A",""
"關於營運衝擊分析應考慮項目，下列敘述何者「不」正確？","復原至最低營運程度所需之員工、技能、設施及服務所需之時間","損害程度之等級不包括收入損失、附加成本、商譽等","最低營運程度所需之員工、技能、設施及服務","完全復原至原服務水準所需之員工、技能、設施及服務時間",0,"B",""
"公司分析重要營運功能之損壞或失去所造成損害程度的行為，稱為下列何者？","風險評鑑（Risk Assessment）","營運衝擊分析（Business Impact Analysis）","危機溝通計畫（Crisis Communications Plan）","風險評估（Risk Evaluation）",0,"B",""
"進行營運持續規劃時，若評估「公司資料遺失之最大可接受程度為 10 分鐘內」，應考慮下列何者？","RPO（Recovery Point Objective）","RTO（Recovery Time Objective）","WRT（Work Recovery Time）","MTPD（Maximum Tolerable Period of Disruption）",0,"A",""
"若固定每週日執行一次完整備份（Full Backup），週一到週六每天備份與「前一天差異」之部分，此為下列何者？","差異備份（Differential Backup）","增量備份（Incremental Backup）","循環備份（Circulatory Backup）","緊急備份（Emergency Backup）",0,"B",""
"下列何種磁碟陣列（RAID）等級沒有提供容錯能力？","RAID 1","RAID 0","RAID10","RAID 5",0,"B",""
"在進行演練測試時，規劃「關閉主站點」以進行有效測試，請問此方法為下列何種測試？","結構化瀏覽演練（Structured Walk-through）","模擬測試（Simulation Test）","並行測試（Parallel Test）","完全中斷測試（Full-interruption Test）",0,"D",""
"下列何者不是下載 APP 時應注意之安全事項？","確認欲下載 APP 的評比與權限設定","只在信譽良好網站或官方市集下載 APP","該 APP 是否需要付費","觀察使用者對該 APP 的評論",0,"C",""
"關於提高行動裝置本身的安全性，下列敘述何者不正確？","開啟並設定開機密碼","開啟並設定解鎖密碼","加大電池容量","開啟並設定手機自動鎖定功能",0,"C",""
"關於行動裝置上的應用程式軟體安全，下列敘述何者不正確？","僅安裝可信賴來源之軟體","定期更新軟體","安裝防毒軟體","可安裝破解版軟體節省荷包",0,"D",""
"在物聯網裡，駭客可能會運用監聽程式（Sniffer）截取網路上未加密資訊並竊取，屬於哪一類攻擊手法？","監聽攻擊（Sniffing Attack）","密碼攻擊（Password-Based Attack）","金鑰淪陷攻擊（Compromised-Key Attack）","阻斷服務攻擊（Denial-of-Service Attack）",0,"A",""
"當兩個物聯網裝置在通訊過程中，傳遞的憑證訊息遭攔截並模擬合法身分存取特定服務，屬於下列哪種攻擊？","中間人攻擊","重送攻擊","冒充攻擊","監聽攻擊",0,"B",""
