題目,A,B,C,D,複選,答案,詳解
"IP 之間的傳輸，屬 OSI 模型哪一層次？","應用層（Application Layer）","表達層（Presentation Layer）","網路層（Network Layer）","傳輸層（Transport Layer）",0,"C",""
"下列哪種攻擊可以用來繞過實體和邏輯主機安全機制？","暴力攻擊（Brute-Force Attack）","阻斷服務攻擊（DoS）","社交工程（Social Engineering）","通訊埠掃描（Port Scan）",0,"C",""
"SMURF Attack 是利用何種協定進行攻擊？","ICMP","UDP","RIP","ARP",0,"A",""
"公司對外的網站放置於下列何處？","DMZ（Demilitarized Zone）","Internet","Intranet","Extranet",0,"A",""
"監控網路時，發現封包標頭的 Protocol Number 為 1，請問此封包屬於何種協定？","TCP","UDP","ICMP","IGMP",0,"C",""
"下列何種網路攻擊會使目標主機系統超出其工作負荷量甚至癱瘓？","社交攻擊（Social Engineering）","流量分析（Traffic Analysis）","阻斷式服務攻擊（Denial-of-Service Attack）","竊聽（Sniffing）",0,"C",""
"何者可避免內外直接連線並隱藏內部 IP 位址？","封包過濾防火牆（Packet-Filtering Firewall）","狀態檢視防火牆（Stateful Inspection Firewall）","代理伺服器（Proxy Server）","網站應用程式防火牆（WAF）",0,"C",""
"寄送電子郵件時，可用安全電子郵件簽章/密碼技術，確保資訊哪些特性？ (1)機密 (2)完整 (3)可用 (4)鑑別","(1)(2)(3)","(1)(2)(4)","(1)(3)(4)","(2)(3)(4)",0,"B",""
"關於「SSL 協定」，下列敘述何者不正確？","提供伺服器(Server)驗證","提供客戶端(Client)安全傳輸","提供伺服器與客戶間之通訊加密","可絕對確保買賣交易的安全",0,"D",""
"關於 TCP 協定的特性，下列何者正確？","確保資料傳送之正確性","資料開始傳送時不需交握（Handshaking）","傳送錯誤時不會要求重新傳送","傳送時之檢查/偵錯機制比 UDP 簡單",0,"A",""
"下列何者非為應用層服務？","HTTP","SMTP","IPX","FTP",0,"C",""
"哪種網路技術可降低廣播領域（Broadcast Domain）範圍？","NAT（Network Address Translate）","VLAN","Dynamic Trunking Protocol","Inter-Switch Link（ISL）",0,"B",""
"下列敘述何者不正確？","木馬後門程式常偽裝成免費軟體吸引下載","電腦病毒有散播、隱藏、感染、潛伏、破壞等特性","阻絕服務攻擊（DoS）指攻擊者與通訊雙方分別建立聯繫並交換資料","蠕蟲（Worm）會不斷複製並利用網路感染其他主機",0,"C",""
