題目,A,B,C,D,複選,答案,詳解
"關於搜尋引擎攻擊（Google-hacking），主要在破壞資訊系統的何種特性？","機密性（Confidentiality）","完整性（Integrity）","可用性（Availability）","責任性（Accountability）",0,"A",""
"請問「對資料修改權的約束與限制，只有擁有權限的使用者才能修改」所代表的意義是下列何者？","機密性（Confidentiality）","完整性（Integrity）","可用性（Availability）","可讀性（Readability）",0,"B",""
"關於將資料設定為「唯讀」之目的，下列敘述何者正確？","是為了確保資料之機密性","是為了確保資料之可用性","是為了確保資料之完整性","是為了確保資料之可讀性",0,"C",""
"當進行風險評估，發現機密資料外洩風險是組織內部最大之風險時，組織進行了相對應之風險處理方法，其中包含了購買資料外洩保險，此為下列何種風險處理方式？","風險接受","風險降低","風險轉移","風險避免",0,"C",""
"建立或導入資訊安全管理系統（ISMS）時，最重要的第一個步驟是下列何者？","資訊資產分級與盤點造冊","資訊安全教育訓練","界定資訊安全管理系統的範圍","實施必要的控制措施",0,"C",""
"關於資訊安全管理系統（ISMS）中的實體控制措施，下列敘述何者「不」正確？","設立訪客櫃台，為了表示友善，訪客可以自由進出辦公區域","劃分安全區域，設定門禁管理","進出機房重地除了需刷卡外，還需要留下詳細的進出記錄","沒有被授權的人員，不應該進入管制區域",0,"A",""
"導入資訊安全管理系統（ISMS），第三方驗證單位是依據下列何種 ISO 標準進行驗證？","ISO/IEC 27000 :2013","ISO/IEC 27001 :2013","ISO/IEC 27002 :2013","ISO/IEC 27003 :2013",0,"B",""
"可建議發出 ISO 27001 通過驗證的國際證書，為下列何者？","第一方稽核","第二方稽核","第三方稽核","第四方稽核",0,"C",""
"權責單位應該定期與不定期進行資訊資產盤點與異動檢核，以確保資訊資產的更新，下列何種情況「不」需要進行資訊資產的異動檢核？","資訊資產新增、變更或移除","作業環境變更","公司舉辦法人說明會","系統有重大異動",0,"C",""
"在進行資產分級評估時，如果資訊系統服務中斷，將造成組織營運出現重大影響，此狀況屬於下列何種評估面向？","機密性","完整性","可用性","流動性",0,"C",""
"下列何種人員主要負責資訊（Information）的保護與維護？","所有者（Owner）","保管員（Custodian）","資訊安全經理（Information Security Manager）","資訊風險經理（Information Risk Manager）",0,"B",""
"在公司資產管理中，為達成識別組織之資產並定義適切之保護責任，應優先建議採取下列何種控制措施？","金鑰管理","懲處過程","變更管理","資產清冊",0,"D",""
"下列何者為資訊分級的主要目標？","確保資訊依其對組織的重要性，受到適切等級的保護","確保與資訊有關的資產，已被正確的識別和記錄","確保與資訊有關的資產，已被正確的盤點和造冊","確保資訊資產於員工離職時，已經完整的歸還",0,"A",""
"下列何者屬於組織的無形資產？","機房","委外廠商","員工","商譽",0,"D",""
"關於資訊資產分級，下列敘述何者較「不」正確？","資訊資產的分級基準依組織的屬性而有不同","價格愈高的資訊資產其資產價值愈高","該資產所支援流程的重要性與資產等級有關","組織內不可能所有資產的重要性都一樣",0,"B",""
"在風險評鑑的過程，對於衝擊所造成的損失，不以金錢來計算，而改採用「極小、較小、中等、較大、巨大」的方式來表達，屬於下列何種方法？","定性法","類比法","定量法","參數法",0,"A",""
"執行定期風險評鑑進入尾聲時，發現一項新的風險議題，下列何者較「不」適當？","將該風險議題納入此次風險評鑑，一併完成評鑑","針對該風險議題額外執行風險評鑑並出具報告","因定期風險評鑑有完成期限，故對此風險議題不做處理","先初步評估是否重大影響，若無則事後再完整評估",0,"C",""
"關於風險評估（Risk Evaluation），下列敘述何者正確？","是識別風險來源、事件、發生的原因，與可能產生的後果","是組織進行風險評鑑、識別、分析的整體流程","是理解風險本質並且決定風險等級的流程","是比較風險分析結果與風險準則來決定風險是否可接受",0,"D",""
"下列何者「不」是選擇風險處理對策時的主要考量因素？","法令法規","實施成本","利害相關者的感知","短期內可達成",0,"D",""
"下列何者「不」是風險處理的選項？","風險降低","風險轉移","風險忽略","風險接受",0,"C",""
"使用者身分識別大致可分為「所知之事」（something you know）、「所持之物」（something you have）及「生物特徵」（something you are），下列何者「不」是所持之物？","用指紋開電腦","刷卡進機房","用提款卡領錢","用鑰匙開門",0,"A",""
"勒索病毒（Ransomware）使用對稱式加密技術與非對稱式加密技術來進行加密電腦內的檔案，讓使用者無法使用，此現象主要影響哪種特性？","機密性（Confidentiality）","可用性（Availability）","完整性（Integrity）","鑑別性（Authenticity）",0,"B",""
"若公司的門禁出入管制已使用生理特徵認證（Biometric Authentication）設備進行身分驗證，為更加嚴格管制，建議應如何調整？","選擇交叉錯誤率（CER）","提高錯誤拒絕率（FRR）","提高錯誤接受率（FAR）","選擇相等錯誤率（EER）",0,"B",""
"公司規定系統權限異動應書面申請，並經主管核准方可執行，下列何項申請「不」宜開放權限？","採購人員申請單據刪除權限經財會主管核准","資訊主管申請管理者權限經總經理核准","財會人員申請系統月結權限經財會主管核准","稽核主管申請系統所有模組的查詢權限經董事長核准",0,"A",""
"關於存取控制，下列敘述何者較「不」適當？","使用防火牆區隔內外網路，並將對外網站放置於 DMZ，關閉非必要連接埠","使用網段區隔技術，隔離敏感系統及各類別的職務群組，但內網各網段應直接互通","機密檔案加密系統的使用者依不同工作性質設定群組權限","重要系統設定使用者超過一定時間未動作即自動登出",0,"B",""
"若想採用暴力攻擊的方式破解以小寫英文和數字所組成的八位密碼，至多總共要嘗試多少次？","(26+10)^8","2^68+10^8","(10+26)x8","5ed4ba3356402.jpg (題意)",0,"A",""
"制定組織內部存取控制政策時，下列何種考量項目較為適合？","對需要的使用者皆開放所需要的權限","配置存取權限時可以有共用帳號的使用","組織營運應用之安全要求事項需納入","不需留下正式授權核可的紀錄",0,"C",""
"下列何種管控技術較「不」適合用來作為身分認證使用？","SNMP（Simple Network Management Protocol）","RADIUS（Remote Authentication Dial In User Service）","LDAP（Lightweight Directory Access Protocol）","TACACS（Terminal Access Controller Access System）",0,"A",""
"透過 ID 與密碼登入系統時，所使用的 ID 目的為下列何者？","認證","授權","負責","識別",0,"D",""
"憑證記載了個人資料、公開金鑰、憑證單位名稱、數位簽章、以及憑證有效期限及用途等資訊，下列何者「不」是它的特性？","完整性（Integrity）","不可否認性（Non-Repudiation）","身分識別（Authentication）","可用性（Availability）",0,"D",""
"關於智慧卡（Smart Card），下列敘述何者較「不」正確？","智慧卡可攜帶方便","智慧卡不會遭到實體攻擊","智慧卡可儲存人腦無法記憶的長密碼","大部分智慧卡設計為三次 PIN 輸入錯誤即鎖卡",0,"B",""
"遠端用戶撥入驗證服務（RADIUS）是 AAA 三種服務的網路傳輸協議，關於此 AAA，下列何者「不」正確？","Authentication","Authorization","Access","Accounting",0,"C",""
"下列何種技術最常被拿來作為檔案完整性（Integrity）的檢查使用？","ECC","MD5","RSA","AES",0,"B",""
"關於古典密碼學技術與現代密碼學技術，下列敘述何者較「不」正確？","凱薩（Caesar）演算法為古典密碼學技術","現代密碼學的加密演算法不可公開","AES 演算法屬現代密碼學技術","柵欄（Rail Fence）演算法在古典密碼學就已出現",0,"B",""
