題目,A,B,C,D,複選,答案,詳解
"某攻擊者在大樓外尋找含有密碼或機密訊息的廢棄紙張，此為何種攻擊法？","社交工程（Social Engineering）","垃圾搜尋（Dumpster Diving）","中間人攻擊（Man-in-the-middle Attack）","後門攻擊（Backdoor Attack）",0,"B",""
"下列敘述何者「不」正確？","機密性：資訊不揭露給未經受權者","可用性：經授權者可使用資訊、資產","完整性：保護資產精確度和完全性","可靠性：可追溯事件源頭",0,"D",""
"某系統重要檔案遭駭客入侵，置換成惡意程式檔案，破壞了資訊安全哪一特性？","機密性（Confidentiality）","完整性（Integrity）","可用性（Availability）","不可否認性（Non-repudiation）",0,"B",""
"ISO/IEC 27001 指導組織用何種方法持續改善 ISMS 之控制措施？","P → D → C → A","D → P → C → A","C → D → P → A","A → D → C → P",0,"A",""
"下列何者是國際標準組織（ISO）制訂的資訊安全第三方驗證標準？","ISO 27000","ISO 27001","ISO 27002","ISO 27005",0,"B",""
"建立 ISMS 時，下列何者「最」常由管理階層執行？","撰寫資訊安全政策","執行風險分析與評鑑","決定可接受風險等級","擔任教育訓練講師",0,"C",""
"為避免違反智慧財產權之法規，下列何者「不」屬於智慧財產權？","著作權（Literary Property）","商標權（Trademark）","電子簽章法（Electronic Signature）","營業秘密（Trade Secret）",0,"C",""
"關於資訊資產盤點，下列敘述何者正確？","資訊資產對組織基本上固定，盤點僅需一次","主要目的是釐清資產存在與保管人有無變動","盤點結果無需留下紀錄","盤點必須由資訊單位同仁執行",0,"B",""
"關於資訊資產分級作業，下列何者正確？","分級標準都會考慮資產採購金額","分級標準都會考慮資產新舊程度","主要目的是確認資產對組織的重要性","主要目的是識別資產在會計上之殘值",0,"C",""
"在公司資產生命過程中，為確保資產盤點造冊、分級與保護、定期審查存取限制與分級，建議採取何項控制措施最佳？","進行風險分析","指派資產擁有者","落實風險控制","實行嚴罰文化",0,"B",""
"進行資產管理時，下列敘述何者「最」正確？","資產分級無需保持一致，所有人依需求自行分級","凡機密資訊皆應以明顯方式標示，避免竊取","資產例行工作可委派他人，但責任仍屬資產擁有者","所有財產應列於資產清冊",0,"C",""
"下列何者「不」適用於決定組織資產價值？","資產在市場行情","資產存放位置","資產初始/最終採購與維護成本","資產對組織生產經營價值",0,"B",""
"關於資產擁有者，下列敘述何者「不」正確？","須確保資產已盤點造冊","須確保資產已適切分級","重要資產保護措施不屬於擁有者責任","刪除或銷毀時應確保適當處置",0,"C",""
"在 ISMS 中定義並進行資訊資產分級時，下列哪一面向應納入評估？","資產變現金額","資產折舊","資產流動性","資產機敏性",0,"D",""
"若公司為資訊資產購買保險，當事件發生由保險公司理賠，屬何種風險處置？","接受（Accept）","降低（Reduce）","移轉（Transfer）","避免（Avoid）",0,"C",""
