題目,A,B,C,D,複選,答案,詳解
"公司網路系統必須 24 小時運作的主要原因","機密性（Confidentiality）","可用性（Availability）","完整性（Integrity）","不可否認性（Non-repudiation）",0,"B",""
"戴明循環（Deming Cycle）正確的順序","Plan – Act – Do – Check","Do – Check – Plan – Act","Plan – Do – Check – Act","Act – Check – Do – Plan",0,"C",""
"關於資訊安全管理系統（ISMS）敘述何者較「不」正確","瞭解組織資訊安全要求並建立資安政策與目標","基於主觀的量測，並且持續改善","監視與審查 ISMS 的績效與有效性","在組織運作中實作控制並管理資訊安全風險",0,"B",""
"進行資安內部稽核時，下列何者「不」是組織應採取的做法","由稽核小組規劃與建立內部稽核計畫","在稽核計畫中定義稽核範圍與準則","為確保稽核專業度，由資訊人員稽核其負責之資訊系統","稽核後將結果報告給相關管理階層",0,"C",""
"破壞資料「可用性或完整性」的網路攻擊手法","(1)社交工程、(2)Google 駭客","(3)拒絕服務、(4)駭客侵入竄改金額","(2)(3)(4)","(1)(3)(4)",0,"B",""
"與保護「個人資訊隱私」有關","個人資料保護法","專利法","商標法","著作權法",0,"A",""
"資訊倫理四大議題（PAPA）中，個人可決定資訊公開或保密的權利","隱私權（Privacy）","正確性（Accuracy）","存取權（Accessibility）","廣泛性（Width）",0,"A",""
"主管機關對所屬機構執行之稽核稱為","第一方稽核","第二方稽核","第三方稽核","聯合/合併稽核",0,"B",""
"OECD 個人資料保護原則中，何者「不」屬於","限制蒐集原則（Collection Limitation）","分享原則（Sharing）","公開原則（Openness）","個人參與原則（Individual Participation）",0,"B",""
"可建議 ISO 27001 通過驗證發證的稽核","第一方稽核","第二方稽核","第三方稽核","第四方稽核",0,"C",""
"關於智慧財產權，何者「不」正確","商標權：註冊後享有專用權","專利權：保護發明","著作權：為保護讀者權益，不被非授權複製","營業秘密：不為公眾所知且帶來經濟利益的技術/經營資訊",0,"C",""
"個資法中，當無法證明實際損害時，依傷害情節可請求法院以多少金額計算","每人一事件新台幣 100～30,000","每人一事件新台幣 200～20,000","每人一事件新台幣 500～20,000","每人一事件新台幣 1,000～30,000",0,"C",""
"公務或非公務機關個資蒐集時告知事項中，「不」包含","蒐集目的","資料類別","資料儲存方式","利用期間與地區",0,"C",""
"ISMS 資訊資產盤點敘述中，何者較「不」正確","資產應分級且盤點與造冊管理","盤點後需風險評鑑","盤點後進行下一年度預算與成本編列","盤點應含硬體、軟體、文件、人員",0,"C",""
"ISMS 資產清單中，較「不」可能包含","資產名稱","資產保管人","資產外觀","資產價值",0,"C",""
"ISMS 資產分類與盤點中，何者較「不」正確","企業與組織具價值者皆屬於資產","資產賦值以購入價格衡量","資產可分類與分級以利後續風險評估","資產價值取決於重要性與敏感度",0,"B",""
"資訊分級時，何者「不」為適當依據","依法律要求","依資訊價值","依資訊重要性","依資訊檔案大小",0,"D",""
"ISMS 中資產擁有者的工作，何者較「不」正確","確保資產盤點造冊","確保資產適切分級並受保護","確保資產刪除或銷毀時適當處置","例行維運工作須由擁有者親自完成",0,"D",""
"ISMS 定義資訊資產分級時，最適合納入評估面向","資產變現金額","資產折舊","資產流動性","資產機敏性",0,"D",""
"電力供應較符合 ISMS 哪種資產類型","軟體資產","資訊資產","硬體資產","服務資產",0,"D",""
"ISMS 中資訊分類的主要目標","確保資訊依其重要性受到適切保護","確保所有資產正確識別與記錄","確保所有資產都能正確盤點","確保員工離職時資訊資產完整歸還",0,"A",""
"ISMS 中風險識別不含下列何者","識別資產脆弱性","分析資安事故對組織之衝擊","評估環境或技術帶來之威脅","建議購買軟硬體設備清單",0,"D",""
"關於風險規避（Risk Avoidance），何者「不」正確","不涉入風險處境","退出風險處境","通常不考量主管機關影響，傾向躲避風險","造成不願面對風險或淡化處理成本",0,"C",""
"風險評鑑與風險處理敘述中正確者","經評鑑後，低風險或成本過高者可接受","風險評鑑可 100% 找出所有風險","風險處理可 100% 消除風險","風險處理後無需再進行評鑑",0,"A",""
"風險分析除定量法外，還可採用何種方法","定性法","類比法","平均法","參數法",0,"A",""
"關於風險管理敘述中，何者較「不」正確","依風險改善計畫期限執行改善","改善後應風險再評鑑","時間超過改善期限仍持續執行原計畫","超過風險胃納項目應提出改善計畫",0,"C",""
"關於程式原始碼存取及權限管理，何者「不」正確","管理人員應開放程式設計人員程式上線權限","應將系統公用程式與應用程式隔離存放","開發中與正式程式及資料庫分開存放","程式目錄與資料應進行備份",0,"A",""
"特權帳號管理方式中，何者較「不」適當","定期檢視特權帳號執行紀錄","定期檢視特權帳號之使用者及權限","定期更改系統管理者密碼避免預設帳號","所有系統皆用單一管理者帳號",0,"D",""
"存取控制中，身分驗證三要素何者「不」屬於","所知之事：帳號/密碼","所謂何事：共用信箱","所持之物：智慧卡","所具之形：生物特徵",0,"B",""
"挑選以生物辨識為主之驗證設備時，評估要素何者「不」常用","錯誤接受率（FAR）","正確拒絕率（TRR）","錯誤拒絕率（FRR）","交叉錯誤率（CER）",0,"B",""
"存取控制具體實施類型中，何者「不」是","還原控制（Recovery Control）","管理控制（Administrative Control）","技術控制（Technical Control）","實體控制（Physical Control）",0,"A",""
"銀行櫃檯出納員最適合採用哪種存取控制方式","強制性存取控制（MAC）","規則基礎存取控制（Rule-based）","角色基礎存取控制（RBAC）","自由決定存取控制（DAC）",0,"C",""
"關於可歸責性（Accountability）定義，下列何者正確？","對使用者提出的可識別資訊進行驗證","使用者必須提供識別資訊給系統","成功登入後完整記錄使用者操作行為","管理層將工作分給多人分層負責",0,"C",""
"職務區隔（SoD）敘述中較正確者","只提供執行業務所需資訊","定期審查權限","權限開放時採用最低權限原則","重要工作切分給多人執行",0,"D",""
"委外使用者存取管理中，何者較「不」正確","應由管理階層核准委外廠商申請系統權限","應要求委外作業人員簽署保密合約","應由委外廠商自行更新線上程式","委外人員調職或離職應立即移除或封鎖存取權限",0,"C",""
"特權管理敘述中較正確者","管理者登入應使用 Administrator/Root 帳號","資料庫管理員可用管理者帳號備份並讀取資料","系統管理員除網管帳號外亦需本機管理權","應定期審查特權帳號，離職應立即審查系統帳號",0,"D",""
"金鑰與憑證管理中，何者「不」正確","金鑰應受保護並以實體安全保護產生/儲存","選用憑證機構時考量技術、管理、人員、財務","憑證機構系統之安全驗證應遵照主管機關規範","憑證機構使用加密金鑰長度由組織自行決定",0,"D",""
"一套加密系統「不」包含下列何者","明文（Plaintext）","暴力破解機制（Brute-Force）","加密演算法（Encryption Algorithm）","密文（Ciphertext）",0,"B",""
"銀行內部密碼系統因應彩虹表攻擊應如何因應","更換加密雜湊演算法","制定更嚴謹的密碼政策","啟用密碼鎖定原則","使用加鹽（Salted）的金鑰延伸函式",0,"D",""
"屬於「非對稱式金鑰加密技術」的是","IDEA（國際資料加密演算法）","AES（進階加密標準）","DES（資料加密標準）","ECC（橢圓曲線密碼學）",0,"D",""
"「對稱式金鑰加密」與「非對稱金鑰加密」中，何者「不」正確？","非對稱加密使用不同金鑰進行加解密","對稱加密在金鑰外洩後即失效","非對稱加密可實作數位簽章","非對稱加密的效能比對稱加密佳",0,"D",""
"資通安全管理法中事件通報要求中，下列何者正確？","資通安全管理法將資安事件分三級","公務機關應於知悉事件後一小時內通報","公務機關應於事件發生後兩小時內通報","特定非公務機關應於事件發生後八小時內通報",0,"B",""
"BCP 與 DRP 敘述較正確者","BCP 與 DRP 處理程序無關","BCP 較著重營運能力恢復","BCP 所需資源較 DRP 少","DRP 所需回復時間較短",0,"B",""
"組織確認營運持續計畫有效性的方法","以文件化方式呈現","進行營運持續演練","指派一位同仁負責計畫","指派一組同仁負責計畫",0,"B",""
"營運持續管理過程中，(a)MTPD、(b)RTO、(c)RPO 之關係，何者最正確？","(a)＜(c)＜(b)","(a)＞(b)＞(c)","(a)＞(b)，(c) 與另二者無直接關聯","(a)＞(c)，(b) 與另二者無直接關聯",0,"C",""
"關於復原點目標（RPO），何者敘述正確？","系統硬碟所儲存的資料量","系統備份所需時間","災後預計資料復原到特定時間","災後預計資料無法回復的時間",0,"C",""
"三種備份方式依執行所需時間排序（甲：完全備份、乙：增量備份、丙：差異備份），何者較正確？","甲＞乙＝丙","甲＜丙＜乙","甲＝乙＞丙","甲＞丙＞乙",0,"D",""
