題目,A,B,C,D,複選,答案,詳解
"關於資訊安全「可用性」的定義，下列敘述何者正確？","確保資訊的正確和完全性","確保資訊在需要時可被存取和使用","確保資訊在傳輸過程中已確認兩方的身分和合法性","確保資訊不會被揭露或被未經授權的個人、實體和流程所取得",0,"B","可用性指當需要資訊時能夠存取與使用"
"資訊安全管理系統（ISMS）是著重於管理面的要求，藉由審查機制、事件的回應及內部稽核來預防資訊安全事件或降低損失風險，下列敘述何者「不」正確？","需要管理階層的承諾及提供相關支援，表達對 ISMS 的支持","採用規劃（Plan）、執行（Do）、檢查（Check）及行動（Act）的改進流程進行","資訊安全目標無需具體量化，導入解決方案、強化資訊安全防護為指導方針","內部稽核的成果報告需要在管理審查會議中進行檢討",0,"C","C 敘述錯誤：資訊安全目標通常需具體量化或明確化"
"ISMS 中的風險評估（Risk Assessment）作業屬於 PDCA 循環中的哪一部分？","規劃（Plan）","執行（Do）","檢查（Check）","行動（Act）",0,"B","依題目所列答案，歸在 Do 階段（題目所給答案設定）"
"建立或導入 ISMS 時，最重要的第一個步驟為下列何者？","資訊資產清冊盤點","資訊安全滲透測試","ISMS 範圍的決定","實施必要的控制措施",0,"C","通常先界定 ISMS 範圍，再行後續盤點與風險管理"
"關於機敏性（Confidentiality），下列敘述何者「不」正確？","資訊不得在未授權的情況下對外揭露","資訊於儲存、傳輸過程中應採取加密措施","個人資料如帳號、密碼、信用卡卡號等外洩為機敏性可能面臨之風險","機敏性資料僅有在駭客攻擊時才會面臨的風險",0,"D","機敏性資料外洩並不限於駭客攻擊時，D 敘述不正確"
"下列何者為規範個人資料之蒐集、處理及利用，以避免人格權受侵害並促進個人資料合理利用的法規？","電子簽章法","妨害電腦使用罪","著作權法","個人資料保護法",0,"D","個資法針對個人資料之蒐集、處理與利用進行規範"
"畢業後返校申請在校成績單，是行使個資法的何種權利？","請求刪除","請求製給複製本","請求補充","請求停止處理",0,"B","申請成績單屬於「請求製給複製本」"
"若要實施 ISMS，第三方驗證公司依據下列何種 ISO 標準進行驗證？","ISO/IEC 27000 :2013","ISO/IEC 27001 :2013","ISO/IEC 27002 :2013","ISO/IEC 27003 :2013",0,"B","ISMS 驗證依據的是 ISO/IEC 27001"
"【複選題】關於「資通安全事件通報及應變辦法」內容，下列敘述何者「不」正確？","資安事件共分四等級","資安事件等級中，第四級為最重大，第一級為最輕微","該辦法規定只有公務機關遇資安事件時需要通報","若為第一級資安事件，公務機關應於知悉後 72 小時內完成通報",1,"C/D","C、D 皆不正確：不僅公務機關，通報時效也與題意不符"
"下列何者是我國個人資料保護法與歐盟 GDPR 有較相同的規定？","資料刪除權","資料可攜權","引進新科技之個資處理方式時需進行資料保護影響評估","資料保護長制度",0,"A","我國個資法與 GDPR 皆有「刪除權」（GDPR 稱 erasure/right to be forgotten）"
