題目,A,B,C,D,複選,答案,詳解
"某公司人員開啟社交工程攻擊信件，導致公司電腦遭駭客植入惡意程式，駭客將電腦機密檔案傳輸出去外，還將檔案刪除。請問上述情境中，下列哪些資安的特性被破壞？","只有機密性遭受破壞","只有完整性遭受破壞","可用性以及機密性均遭受破壞","完整性以及可用性均遭受破壞",0,"C","檔案外洩破壞「機密性」，檔案被刪破壞「可用性」。"
"關於資訊安全管理系統（ISMS），下列敘述何者較「不」正確？","導入可保護組織資訊資產安全","需要制度與技術面互相配合","最高管理階層的參與及支持是重點","在建立 ISMS 的活動中，識別弱點會優先於識別資訊資產",0,"D","應先識別資訊資產，再針對資產進行脆弱點評估，D 敘述不正確"
"下列何種標準是針對雲端服務個人隱私資料的保護？","ISO/IEC 27001","ISO/IEC 27002","ISO/IEC 27017","ISO/IEC 27018",0,"D","ISO/IEC 27018 著重雲端服務的個人隱私資料保護"
"下列何者屬於資料完整性受影響？","機密資料外洩","檔案遭毀損而無法存取","系統無法正常提供服務","資料以明文方式傳輸",0,"B","檔案毀損屬於完整性問題"
"請問資通安全責任等級分級辦法，適用機關的責任等級，共分幾級？","4","5","6","7",0,"B","依規定共分 5 級"
"下列何者是目前國際上唯一與資訊安全相關，且可作為國際認證論壇（IAF）認可的管理系統驗證？","ISO/IEC 27001","ISO/IEC 27002","ISO/IEC 27005","ISO/IEC 27006",0,"A","ISO/IEC 27001 為資訊安全管理系統的可認可標準"
"下列何者「不」屬於我國智慧財產權保護的相關法令？","個人資料保護法","營業秘密法","商標法","專利法",0,"A","個資法主旨在保護個人資料，不屬於智慧財產權保護法令"
"為保障信用卡持卡人資料安全，制定統一的資料安全標準，提供資料安全的技術與作業要求之基準，此行為屬於下列何者？","PCI DSS","HIPAA","Sarbanes-Oxley Act","Basel II",0,"A","PCI DSS（Payment Card Industry Data Security Standard）為信用卡資料安全標準"
"【複選題】關於 GDPR 的規範要求，下列敘述何者較「不」正確？","GDPR 為歐盟一般資料保護法規","任何使用與歐盟公民相關資訊的公司都應評估遵循","雲端處理者與控制者目前不納入 GDPR 強制實施範圍","要求持有可識別資訊者實施適切安全措施防止遺失",0,"C","C 不正確：雲端處理者與控制者也納入 GDPR 強制範圍"
"關於資通安全管理法子法所定義的防護基準中，要求密碼「不」得明文存放，是規範在下列何種控制構面中？","系統與通訊保護","系統與服務獲得","存取控制","識別與鑑別",0,"D","密碼不可明文存放屬於「識別與鑑別」之規範"
"下列何者「不」是依個資法第 8 條規定，向當事人蒐集個人資料時應明確告知當事人的事項？","個人資料類別","個人資料利用之期間、地區、對象及方式","個人資料數量","不提供個資可能對當事人權益造成的影響",0,"C","法條未規定須告知「個人資料數量」"
"關於智慧財產權，下列敘述何者較「不」正確？","專利權、著作權、營業秘密皆屬智慧財產權","可將合法授權軟體光碟複製一份作備用","推薦網路上音樂歌名給朋友違反智慧財產權","原版軟體版權屬智慧財產權保護範圍",0,"C","僅推薦歌名並不構成智慧財產權侵害"
"所有權是資訊倫理常探討的四大議題之一，關於所有權，下列敘述何者較為正確？","誰擁有資訊","誰負責資訊的真實性與正確性","在何種保護措施下可揭露哪些個人資料","在何種條件下個人與組織有權利取得所需資料",0,"A","所有權的核心是「誰擁有資訊」"
"下列何者「不」屬於資訊資產分類中的服務資產？","電力供應","網路供應","空調供應","公用程式",0,"D","公用程式（utility）屬於軟體/系統面，不算「服務資產」"
"【複選題】關於資訊資產控管原則，下列敘述何者較「不」正確？","資產分類分級是資安控管的重要程序之一","資產分類通常是風險管控作業所需","依資產等級不同並配合資產類別給予對應控管措施","各組織針對資訊資產之定義不會不同",0,"D","D 不正確：不同組織可能因業務需求而有不同資產定義或分類方式"
"關於資訊資產的保管權責，下列敘述何者較「不」正確？","權責單位（Owner）不一定需具備財產權","保管單位（Keeper）負保管義務","使用單位（User）負合理使用之義務","使用單位（User）負責該資產生命週期管理與維護",0,"D","Owner 才負責資產生命週期管理，User 只負責合理使用"
"為了確保資訊依其重要性受到適切等級的保護，下列何種控制措施與此目標較「不」具直接相關？","資訊之分級","資訊之標示","資訊之處理","資產擁有權",0,"D","分級、標示、處理皆關乎保護的重要性，擁有權不直接影響保護等級設定"
"資訊資產價值需考量機密性、完整性及可用性，下列何種資訊資產的機密性價值更高？","人事資料","公司官網","線上學習系統","公務機關出國報告",0,"A","人事資料通常涉及個資，機密性要求較高"
"關於資產清冊，下列敘述何者較「不」正確？","在進行資產管理時，應優先建立資產清冊","將可移除式媒體載於資產清冊，可減少資料遺失機會","資產清冊需要識別資訊及資訊處理設施相關資產並文件化","組織所有資產都應列入清冊，也都要標示購置成本和費用",0,"D","並非所有資產都需要列出購置成本，D 要求過度"
