題目,A,B,C,D,複選,答案,詳解
"「有人假冒大學電算中心人員，打電話向你詢問，並騙取你的帳號密碼。」","社交工程（Social Engineering）","垃圾桶攻擊法（Dumpster Diving）","中間人攻擊法（Man-in-the-middle Attack）","後門攻擊法（Backdoor Attack）",0,"A","假冒身份騙取使用者資訊屬於典型社交工程手法"
"組織已開始著手進行資訊資產之盤點、建立清冊，並實施風險評鑑作業，此作業屬於 PDCA 循環之何者階段？","P（Plan）","D（Do）","C（Check）","A（Act）",0,"B","執行（Do）階段包含資產盤點、風險評鑑等實務作業"
"下列何者為國際上受到業界認可，並可驗證的資訊安全管理系統（ISMS）標準？","ISO 9001","ISO 27000","ISO 27001","ISO 27002",0,"C","ISO 27001 為可供認證的 ISMS 標準"
"下列何者「不」是風險評鑑過程中主要的活動？","風險鑑別","風險分析","風險處理","風險評估",0,"C","「風險處理」屬於後續步驟，非風險評鑑（辨識、分析、評估）三階段"
"下列何者「不」屬於威脅來源之一？","天然災害","憤怒的員工","未經授權存取機密資料","程式的瑕疵",0,"D","程式瑕疵屬於「脆弱性」而非「威脅來源」"
"使用 Wireshark 工具，主要可能影響資訊安全中的何種特性？","機密性（Confidentiality）","可用性（Availability）","完整性（Integrity）","真確性（Authenticity）",0,"A","Wireshark 具封包攔截監聽功能，易造成機密性外洩"
"下列何種資訊設備較「無法」從網路層進行存取控制以限制合法的來源？","DLP（Data Loss Prevention）","DNS（Domain Name Service）","Firewall","Switch",0,"A","DLP 側重資料層面防護，非網路層存取控制"
"在 Linux 作業系統中，下列何者「不」為檔案存取權限的分類？","可寫（Write）","可讀（Read）","可執行（Execute）","測試（Test）",0,"D","Linux 檔案權限只有 R/W/X"
"下列何者「不」是建立高安全強度密碼的原則？","密碼需定期變更","設定複雜度高的密碼（含大小寫字母、數字及特殊符號）","密碼應可立即變更","密碼長度越長越好",0,"C","「密碼應可立即變更」屬於應用需求，但不一定是提升密碼強度的必備原則"
"最近無線網路的安全備受重視，下列何項無線網路協定的規範內容與身份認證及安全機制有關？","802.11n","802.11a","802.11ac","802.11i",0,"D","802.11i 是針對 Wi-Fi 安全標準（WPA2 等）"
"使用指紋或掌紋來辨識身份，屬於下列何種身份認證方式？","所知之事","所持之物","所具之形－靜態特徵","所具之形－動態特徵",0,"C","指紋、掌紋屬生物辨識的「靜態特徵」"
"依據「資通安全事件通報及應變辦法」，主管機關於接獲通報後，若判定為 3 級或 4 級事件，應於幾小時內完成審核？","2 小時","4 小時","8 小時","12 小時",0,"A","規定為 2 小時內完成審核"
"下列敘述何者較「不」正確？","RTO 時間越長，代表可容忍系統無法使用時間越長","RPO 的時間點要求越遠，代表可允許之資料備份週期越長","RPO 的時間點要求越遠，代表可允許之資料備份週期越短","MTPD 時間越長，代表可容忍系統無法使用時間越長",0,"C","RPO 要求越遠→表示容忍遺失時間更長→可延長備份週期，因此「越遠、越短」不正確"
"常見的磁碟陣列 RAID 中，RAID5 可以容忍同時幾顆硬碟損毀？","1","2","3","4",0,"A","RAID5 可容忍 1 顆硬碟損毀"
"關於個人資料保護，下列何者為「不」可直接識別個人資料？","身分證統一編號","出生年月日","護照號碼","指紋",0,"B","僅有生日資訊無法直接識別個人身分"
"下列何者「不」是保護智慧財產權的適當做法？","向信譽良好店家購買正版軟體","從網路下載破解版軟體","制訂保護智慧財產權的政策","定期檢查僅安裝合法授權軟體",0,"B","下載「破解版」屬非法侵權"
"下列何者「不」在著作權的保護範圍內？","自創音樂","小說創作","公文內容","攝影作品",0,"C","公文多不具著作財產權歸屬，在我國法律規定下多屬公有領域"
"下列何種為個人資料保護法中所定義的特種個人資料？","離婚身份","犯罪前科","住家電話","銀行負債情形",0,"B","犯罪前科屬於個資法「特種個資」類型"
"關於營運持續計畫（BCP），下列敘述何者較「不」正確？","詳細規劃啟動條件","應讓營運計畫小組人員受訓確保計畫可行","無需太多人知曉計畫內容，避免備援地點外洩","需有明確的復原程序及時間",0,"C","BCP 需各重要人員充分瞭解與演練，並非「越少人知越好」"
"下列何者為資訊安全資產清冊製作及維持的主要目的？","方便帳務管理","適切的保護資產","對財產價值的管理","便於資訊備份",0,"B","主要目的是確保資訊資產獲得適切保護"
"關於自然人憑證，下列敘述何者「不」正確？","使用非對稱式演算法產生金鑰對","簽驗章和加解密是使用同一組金鑰對","自然人憑證有有效期可展延","被簽章資料無長度限制",0,"B","「簽驗章」與「加解密」常分別使用不同金鑰對（或同對不同用途），B 敘述不正確"
