題目,A,B,C,D,複選,答案,詳解
"使用專用帳號及密碼登入 CRM 系統，主要是基於下列何種原則？","可靠性","可用性","機密性","完整性",0,"C","使用帳號密碼登入確保未授權者無法存取系統，屬機密性之保護"
"高階管理階層（資安長）在資訊安全管理系統中所展現領導與承諾，「不」包含下列何項？","確保資訊安全政策與目標與組織方向相容","整合人員、組織及必要資源支援 ISMS","向組織內部所有人員說明資訊安全產品設定","確保 ISMS 達成預期成效",0,"C","C 非高階管理之領導與承諾的重點；產品設定細節通常由技術或執行層負責"
"資訊安全的定義是下列何項最正確？","保護資訊資產的機密性與完整性","保護資訊資產的完整性與可用性","保護資訊資產的機密性與可用性","保護資訊資產的機密性、完整性與可用性",0,"D","資訊安全三大面向為 CIA"
"請問下列哪一種攻擊手法，目的是讓合法授權的使用者無法使用系統或網路資源？","社交工程（Social Engineering）","蠕蟲（Worm）","暴力破解（Brute-Force Attack）","拒絕服務（DoS）",0,"D","DoS 目標在癱瘓系統使正常用戶無法使用"
"資訊安全管理系統遵照 P-D-C-A 四個程序不斷改進。請問「建立及執行管理程序」屬於下列哪一個程序？","Plan（計畫）","Do（執行）","Check（查核）","Act（行動）",0,"B","執行階段包含實際執行管理程序"
"下列何者「不」屬於特種個資？","性生活","病歷","健康檢查","指紋",0,"D","指紋屬個人敏感生物特徵資料，但非個資法定義的「特種個資」"
"關於公務員假借職務犯個資法者，加重刑罰比例為下列何項？","加重其刑至五分之一","加重其刑至四分之一","加重其刑至三分之一","加重其刑至二分之一",0,"D","公務員假借職務犯個資法，刑度加重二分之一"
"關於公務機關未遵守資通安全管理法之敘述，下列何者正確？","按情節輕重按次處 10 萬以上 100 萬以下罰鍰","按情節輕重按次處 30 萬以上 500 萬以下罰鍰","依相關規定予以懲戒或懲處","按情節輕重按次處 3 萬以上 50 萬以下罰鍰",0,"C","公務機關違規通常是內部懲戒或懲處，不以罰鍰方式處罰"
"關於委外辦理資通系統之適任性查核敘述，下列何者錯誤？","應查核有無曾犯洩密罪或於動員戡亂時期終止前犯內亂/外患罪經判刑確定","應查核有無曾犯洩密罪或於動員戡亂時期終止後犯內亂/外患罪經判刑確定","應查核有無曾受外國政府利誘、脅迫從事不利國家安全或重大利益","應查核有無曾受大陸地區/香港/澳門政府利誘、脅迫不利國家安全或重大利益",0,"A","A 錯在「動員戡亂時期終止前」，應為「終止後」方屬法條重點"
"當某關鍵基礎設施提供者之核心業務資訊遭嚴重洩漏時，該提供者就該資通安全事件通報敘述，下列何者錯誤？","知悉後 1 小時內通報","通報內容含因應措施","於知悉後 36 小時內完成損害控制或復原","完成後持續進行調查並於 2 個月內送交處理及改善報告",0,"D","規定應於一個月內（非兩個月）送交事件調查處理及改善報告"
"公務或非公務機關在個人資料蒐集時，應明確告知當事人事項，下列何項不包含於告知內容？","個人資料蒐集的目的","個人資料的類別","個人資料儲存方式","個人資料利用的期間與地區",0,"C","法定告知事項不包含「儲存方式」"
"下列何者「不」屬於個人資料？","以直接方式識別個人之資料","以間接方式識別個人之資料","公司營業據點的地址","個人之出生年月日",0,"C","公司營業據點地址非屬個人資料"
"個人資料保護法主要保護下列何種隱私？","資訊隱私","身體隱私","決定權隱私","物理空間隱私",0,"A","個資法著重「資訊隱私」"
"關於組織擁有之較常見資產分類，下列何者錯誤？","可區分為資訊類資產","可區分為軟體類資產","可區分為韌體類資產","可區分為硬體類資產",0,"C","一般區分「資訊、軟體、硬體、服務、人員」，較少將「韌體」作獨立一類"
"關於實施「資訊分類」作業的主要目的，下列何者最正確？","防止儲存在媒體的資訊被經授權的移除","防止儲存在媒體的資訊被經授權的揭露","確保組織重要資訊受到適切等級保護","確保公開資訊受到適切等級保護",0,"C","資訊分類分級旨在針對重要資訊提供相對應保護"
"關於資訊資產控管原則，下列敘述何者正確？","關鍵系統設備不需建立備援","網路設備不用備用系統","個人使用套裝軟體之存取權限應與使用者角色職責相符","公開資料未經核可禁止複製",0,"C","C 敘述為正確原則，其他選項皆不恰當"
"資訊類資產分級可分公開、內部使用、密級三種。關於「密級」之敘述，下列何者錯誤？","若外洩不會造成組織有形或無形傷害","外洩可能造成個人或組織困擾、名譽損失或財務損失","含病歷、醫療、性生活、前科等個人敏感資料僅經授權人員可存取","含可直接或間接識別個人之未公開個資",0,"A","密級外洩會對組織或個人造成傷害，A 敘述錯誤"
"關於紙本類資訊資產保護原則，下列敘述何者最「不」正確？","內部級紙本，保管人員暫時離開座位時不得置於開放空間","內部級紙本，保管人員長時間離開應鎖於空間或櫃內並上鎖","密級紙本，保管人員暫時離開時可置於開放空間","密級紙本，保管人員進出上鎖空間或借用鑰匙時應記錄",0,"C","密級資訊資產暫時離開時不可置於開放空間，C 不正確"
"關於資產盤點之執行方式，下列敘述何者最「不」正確？","所有軟體類資產可藉由軟體掃描工具輔助","所有硬體類資產可藉由軟體掃描工具輔助","所有資訊類資產可藉由檔案搜尋工具輔助","所有人員類資產可藉由組織架構與業務職掌表輔助",0,"B","硬體資產如桌機、筆電可用工具偵測，但部分設備（印表機、網路設備）等可能需人工盤點"
"在 ISMS 中，電力供應屬於下列何種資產類型？","服務資產","資訊資產","硬體資產","軟體資產",0,"A","電力供應屬於一種「服務資產」"
"下列敘述何者符合風險移轉？","投保機房火險","建立備援網路系統","停止網路平台交易業務","增加開啟系統權限之簽核流程",0,"A","保險、契約等方式將風險轉移他方"
"關於風險評鑑管理程序，下列何者「不」正確？","建立全景界定評鑑範圍","詳細評鑑包含識別、分析與評估","若風險處理合意則進入風險接受","若評鑑不合意則進入風險溝通",0,"D","若評鑑結果不合意通常需重新評估或檢討處理方案，不是直接進入風險溝通"
"下列何者的處理方式無法降低風險？","風險規避 (avoidance)","風險保留 (retention)","風險修改 (modification)","風險分擔 (sharing)",0,"B","風險保留＝接受該風險，不會降低風險"
"為了降低風險，下列何者最「不」是實施風險控制措施的考量因素？","法規要求與限制","組織目標與規範","實施的可能成本","資訊資產類別",0,"D","選擇控制措施時主要考量法規、目標、成本等，資產類別僅輔助評估非最主要因素"
"何者是「殘餘風險」（Residual Risk）的敘述？","單位可承受風險","未被識別的風險","已識別但無指定處置方法的風險","執行風險處理後仍殘留的風險",0,"D","殘餘風險=執行控制措施後尚存的風險"
"無人看守設備存風險，下列何者較「無」關於無人看守設備應注意事項？","封閉場所加裝門鎖","開放場所裝監視器","加裝滅火器","設定螢幕保護或使用密碼",0,"C","加裝滅火器屬防災設備，與防止設備被盜無關"
"公司 ERP 系統針對不同職務功能給予不同權限，其目的與何項關聯性較高？","機密性、完整性","可用性、完整性","機密性、可用性","機密性、可用性、完整性",0,"A","區分權限以防未授權存取（機密性）及避免誤操作（完整性）"
"門禁卡與機房進出需要特定密碼控制，其主要目的是何項？","偵測性","指導性","預防性","嚇阻性",0,"C","需經門禁授權才能進入，是「預防性控制」"
"關於特權帳號管理，下列何者錯誤？","特權帳號登入時間、頻繁次數須監控","留下詳細軌跡並每日稽核","使用雙授權管理機制","避免特權帳號分散故應共用帳密便於管理",0,"D","共用特權帳號違反可稽核原則，風險極高"
