題目,A,B,C,D,複選,答案,詳解
"下列何者為資訊安全的「機密性」之定義？","確保資訊不會被揭露或被未經授權的個人、實體和流程所取得","確保資訊的正確和完全性","確保資訊在需要時可被存取和使用","確保資訊在傳輸過程中已確認兩方的身分和合法性",0,"A","機密性意指避免未授權者存取資訊"
"關於文件管制措施，下列敘述何者正確？","所有制定的 SOP 皆須以書面發行","制定的各項管理制度、程序，不宜以電子檔案公佈","所有作業程序必須以四階文件來發行","文件管制宜制定標準作業核可及發行流程，以利組織成員遵循",0,"D","D 為正確做法，其他選項不具強制性或有誤"
"資訊安全政策為資訊安全管理系統中最高指導原則，下列敘述何者正確？","無需定期審查目前要求","資訊安全政策不一定須由最高管理階層審核","建立之資安政策必須與組織目標相容","內部或機密文件不可對外公告",0,"C","C 強調資安政策與組織目標需一致"
"駭客侵入銀行資料庫竄改存款金額，主要破壞了何種資訊特性？","機密性（Confidentiality）","完整性（Integrity）","可用性（Availability）","可靠性（Accountability）",0,"B","竄改數據屬破壞完整性"
"風險評鑑（Risk Assessment）作業在 PDCA 循環中屬於哪一部分？","Plan（規劃）","Do（執行）","Check（檢查）","Act（改善）",0,"B","依題目所列，此為 Do 階段"
"關於個人資料蒐集之特定目的消失或期限屆滿時之作為，下列何者錯誤？","應主動停止蒐集該個人資料","應主動停止處理該個人資料","應主動停止利用該個人資料","應主動刪除該個人資料",0,"A","「停止蒐集」非必要動作，若目的已達亦可能僅停止「處理或利用」並刪除現有資料"
"關於資通安全管理法所定義之「公務機關」敘述，下列何者正確？","依法行使公權力之軍事機關","依法行使公權力之中央機關、地方機構","依法行使公權力之情報機關","政府捐助並依法行使公權力之財團法人",0,"B","B 為法條定義：依法行使公權力之中央、地方機關"
"A 公司主要營業市場在中國及新加坡，採用 ISO 27001 建置 ISMS。下列何者並非其優先考量之法規？","ISO 27001：2022","個人資料保護法（中華民國）","歐盟一般資料保護法（GDPR）","網路安全法（中國）",0,"C","A 公司業務未涉及歐盟公民資料，GDPR 不屬優先考量"
"依「公開發行公司建立內部控制制度處理準則」，附圖中哪項為各級公開發行公司皆應完成之共通事項？","1、2、4","2、3","3","4",0,"C","題意指該處理準則附圖：只有第 3 項為所有公開發行公司皆應完成"
"下列何者「不」是個資法下當事人對其個人資料的權利？","查詢或閱覽","補充或更正","請求刪除","請求永久保留",0,"D","請求永久保留不在法定權利內"
