題目,A,B,C,D,複選,答案,詳解
"關於資訊安全管理系統的敘述，下列何者錯誤？","ISO 27001：2022 是目前最新版本","建立資訊安全管理系統必須以 ISO 27001 為架構","機密性、可用性、完整性是 ISO 27001 最主要的資安3要素","ISO 27001 資訊安全管理系統是一個持續改善的架構",0,"B","雖然 ISO 27001 是國際標準，但建立資訊安全管理系統不必強制依此架構，可根據組織需求採用其他方法。"
"使用微軟提供的功能將檔案加密，主要目的是增加下列資訊安全的何種特性？","可歸責性（Accountability）","可用性（Availability）","機密性（Confidentiality）","完整性（Integrity）",0,"C","加密技術主要用於保護資料免於未經授權存取，確保機密性。"
"關於確保資訊安全機密性的方法，下列敘述何者較「不」正確？","建立防火牆","限制資料存取權限","使用多因素身份驗證","定期更新修補程式以及病毒碼",0,"D","更新修補程式與病毒碼主要是防範漏洞與惡意程式，對機密性保護作用較為間接。"
"關於維護資料完整性之控制措施，下列敘述何者正確？","密碼學技術","防火牆","資料庫備份","電子郵件加密",0,"A","密碼學技術（如雜湊、數位簽章）是驗證資料是否遭竄改的重要方法。"
"若要驗證資訊安全管理系統並有效達成稽核作業，可參考下列哪一項標準？","ISO 27002","ISO 27007","ISO 27017","ISO 27037",0,"B","ISO 27007 提供了資訊安全管理系統稽核的指南與方法。"
"依據資通安全責任等級分級辦法，下列何者正確？","涉及全國性民眾服務或跨機關共用系統者為 A 級","涉及公務機關捐助或研發核心科技資訊者為 B 級","自行或委外設置具權限分區系統者為 A 級","無資通系統但提供服務者為 E 級",0,"B","涉及核心科技資訊安全維護者依規定屬於 B 級責任。"
"T 通訊公司發生第三級資通安全事件時，應於何時內完成損害控制或復原作業？","24 小時內","36 小時內","48 小時內","72 小時內",0,"B","規定要求特定非公務機關在知悉事件後 36 小時內完成損害控制或復原。"
"關於 ISO 27001：2022 的敘述，下列何者錯誤？","內部稽核員可以查核自己的工作","強調持續改善要求","附錄 A 區分為 4 個領域","附錄 A 共有 93 個控制項",0,"A","為避免利益衝突，內部稽核員不應審查自己負責的工作。"
"我國個人資料保護法施行細則第12條所稱適當安全維護措施，不包括下列何項？","個人資料之風險評估及管理機制","認知宣導及教育訓練","導入 ISO 管理架構","資料安全稽核機制",0,"C","導入 ISO 管理架構並非該法要求的安全維護措施之一。"
"根據歐盟 GDPR，網站記錄使用者 Cookie 時，應提供何種資訊給使用者確認較合適？","網站的所有內容","使用者的個人身份證明","關於 Cookie 的明確和具體資訊","購物車的內容",0,"C","GDPR 要求向使用者提供清楚且具體的 Cookie 使用資訊。"
"關於中華民國個人資料保護法定義，下列何項錯誤？","蒐集：指以特定方式取得個人資料","處理：指建立或利用個資檔案進行各種操作","利用：指將個資作處理以外之使用","個資檔案：指可自動或非自動檢索整理之個資集合",0,"A","“蒐集”定義並不限定必須以特定方式取得，描述不夠精確。"
"依據營業秘密法，下列何者正確？","工程師於職務上研究之秘密歸工程師所有","營業秘密不得讓與他人或共有","營業秘密不得作為質權或強制執行標的","營業秘密僅指方法、技術、製程、配方，程式屬著作權",0,"C","法規明確規定營業秘密不得作為質押或強制執行的標的。"
"當公益團體舉辦抽獎活動需蒐集個資時，哪種方式最不合適？","直接保留個資以供其他用途使用","明確告知個資蒐集用途","提供參與者停止蒐集管道","僅蒐集活動所必須的個資",0,"A","直接保留個資以供其他用途違反目的限制原則。"
"在公司資產管理中，為識別資產並定義保護責任，應優先採取何措施？","金鑰管理","懲處過程","變更管理","資產盤點",0,"D","資產盤點是識別及管理保護責任的首要步驟。"
"對於資訊資產盤點，下列何者較正確？","只在資產報廢時進行","定期進行","只在設備更新時進行","不必定期進行",0,"B","定期盤點能確保資產資料的準確性與時效性。"
"關於資訊資產評價與分類描述，下列何者較正確？","資產價值評估以機密性最為重要","資產分級主要釐清資產重要性","資產評價以人員資產為主","使用服務無需列入資訊資產",0,"B","資產分類重在辨識資產的重要性，以利後續風險管理。"
"關於資訊資產分類的目的，下列何者較正確？","確認資產的價值","確認資產的類型","確認資產的風險","確認資產的擁有者",0,"B","資產分類主要在於明確資產的類型，進而採取相應的保護措施。"
"關於資訊資產分類描述，下列何者錯誤？","人員：全體同仁、駐點人員、工讀生，不含委外","軟體：包括作業系統、應用程式等","文件：包括紙本文書資料（如公文、表單）","環境資產：可包含電力與消防設施",0,"A","委外人員在某些情況下也屬於資產管理考量，因此說法不完全正確。"
"進行資訊資產分類時，ERP 系統較適合分類至何種資產？","硬體類資產","軟體類資產","服務類資產","文件類資產",0,"B","ERP 系統本質為應用軟體，故屬於軟體資產。"
"進行資訊資產分類時，應分為幾類？","5 類","6 類","7 類","由各組織自行設計分類方式",0,"D","資產分類無固定標準，組織可依自身需求設計適合的分類方式。"
"關於風險的敘述，下列何項錯誤？","風險是對目標不確定性之效應","風險分析須以量化方式進行","風險與控制非一對一，有時一風險配多控制","風險回應成本與嚴重度不必正相關",0,"B","風險分析可採用質化或量化方式，不必只用量化方法。"
"下列何者不屬一般資訊安全風險管理流程？","全景建立","風險識別","風險承受能力","風險處理",0,"C","常見流程包含風險識別、評估與處理，風險承受能力並非獨立流程。"
"S 公司因 GDPR 而關閉歐洲零售業務，屬於何項風險回應？","風險避免","風險修改","風險保留","風險分擔",0,"A","關閉業務為徹底避免該風險的措施。"
"公司使用雲端服務時，面對風險處理，下列何者較不適宜？","參考同業選擇供應商","認為雲端服務不存在風險","發生失效時記錄並重新評估風險","因過去無失效記錄而認定風險低",0,"B","認為雲端服務不存在風險是不正確的，必須持續評估可能風險。"
"面對風險的態度，下列何者較不合適？","視情況決定可接受風險等級","致力追求零風險","擬訂風險處理計畫","定期評估風險處理成效",0,"B","追求零風險不切實際，應設定合理且可接受的風險水平。"
"關於零信任（Zero Trust）的敘述，下列何者正確？","零信任是不需始終驗證","僅提供必要權限","不需保持網路可見性","非所有流量皆視為不安全",0,"B","零信任強調只授予完成任務所必需的最低權限。"
"關於 FIDO 標準，下列描述何者錯誤？","FIDO 匯集多種認證技術","採無密碼但未整合多因素驗證","可減少帳號盜用風險","認證資料存於使用者端",0,"B","FIDO 除了無密碼外，亦能結合多因素驗證，故該描述不符。"
"下列何者非重要系統權限管理常見安全措施？","權限申請須經主管核准","臨時權限到期自動停用","每月備份重要系統","定期檢視權限異常",0,"C","備份系統屬於資料保護措施，不屬於權限管理範疇。"
"下列何者非保護密碼安全的管控措施？","限制錯誤次數","要求定期更改密碼","自動註銷未活動帳戶","密碼傳輸過程加密",0,"C","自動註銷屬於會話管理，不直接影響密碼本身安全。"
"關於存取控制基本管理敘述，下列何者錯誤？","責任分擔避免資訊集中","最低權限只給完成任務所需","知的必要性指有資訊權利","資訊分類要求使用者了解所有資料",0,"D","資訊分類的目的是區分資料層級，無需使用者掌握所有細節。"
"指紋等生物特徵認證屬於何種認證因素？","所知之事","所持之物","所具之形","所分享之物",0,"C","生物特徵認證屬於「你是誰」的認證方式，即所具之形。"
"多因子認證（MFA）下列哪些組合屬於多因子認證類型？","(1)、(2)、(3)、(5)","(1)、(2)、(4)、(5)、(6)","(1)、(2)、(3)","(2)、(3)、(5)",0,"B","組合 (1)、(2)、(4)、(5)、(6) 涵蓋不同類別的認證因素，符合 MFA 要求。"
"下列何者不屬於「你所知道的事物」認證類型？","密碼","你喜歡的數字","通行語","指紋",0,"D","指紋屬於生物認證，屬於「你是誰」而非「你知道的」。"
"為防止無人管控終端連接主機進行非法查詢，最佳安全控制為？","設有密碼的螢幕保護程式","工作站腳本檢查硬碟","對主機資料文件加密","自動註銷不活動用戶",0,"D","自動註銷能迅速終止未經授權的連線，保護效果最佳。"
"資訊系統存取權限管理，下列何項較不正確？","提供臨時人員暫時存取權限","更新異動者存取權限","拒絕職務代理暫時存取權限","撤銷離職員工存取權限",0,"C","職務代理通常可給予臨時存取權限，非一律拒絕。"
"關於對稱式密碼學，下列何項錯誤？","加密與解密使用相同金鑰","加密速度較非對稱密碼學快","運算成本較非對稱密碼學高","金鑰交換需另建立保護機制",0,"C","對稱加密的運算成本低於非對稱加密，故該敘述錯誤。"
"關於 HTTPS 數位憑證，下列何項錯誤？","為 X.509 標準並用 X.500 定義","用於驗證代表之實體","可確認發行者數位簽章","每張憑證僅能驗證一個網站",0,"D","數位憑證通常可支援多子網域驗證，不限於單一網站。"
"下列何種密碼演算法加密與解密使用不同金鑰？","DES","3 DES","AES","RSA",0,"D","RSA 為非對稱加密，採用公開金鑰與私密金鑰進行加解密。"
"金鑰管理中，不包含下列哪一過程？","儲存","封存","配發","破解",0,"D","破解屬於非法行為，不屬於金鑰管理的正當程序。"
"下列何者不屬於金鑰配發問題解決方法？","事前共有","金鑰分配中心（KDC）","利用漢明碼進行密鑰交換","公開金鑰加密",0,"C","漢明碼屬於糾錯技術，並非用於解決金鑰分配問題。"
"關於資訊安全事故處理流程，下列何者較正確？","建立事故管理責任及程序","事故回應僅針對內部同仁","外部告知即可，不須確認","處理前須獲高階管理同意",0,"A","建立完整事故處理流程與責任分工是處理資訊安全事件的基本要求。"
"依據「資通安全事件通報及應變辦法」，主管機關接獲通報後，若判定為 1 級或 2 級事件，應於幾小時內完成等級審核？","2 小時","4 小時","8 小時","12 小時",0,"A","規定要求對嚴重事件必須在 2 小時內完成等級審核。"
"關於 SIEM，其原文為何？","Security Information and Event Management","System Incident and Escalation Management","Server Integration and Event Management","System Integration and Escalation Management",0,"A","SIEM 全稱為 Security Information and Event Management。"
"關於資訊安全事故處理，下列何者較正確？","事故時先處理，後續再蒐集資料","事故後應留存紀錄並檢討改進","事故處理完再通報主管機關","日常議題不提升為事故等級",0,"B","事故發生後記錄與檢討能促進安全機制的持續改進。"
"特定非公務機關核心系統發生異常遭竄改，主管機關應於接獲通報後幾小時內完成等級審核？","2 小時","4 小時","6 小時","8 小時",0,"A","規定要求在接獲通報後 2 小時內完成等級審核。"
"關於備份，下列何者較正確？","所有資料皆每日備份一次","備份頻率依資料重要性分配","備份於磁帶可存於同層樓辦公室","備份可存於同一硬體設備上",0,"B","備份週期應依資料的重要性及可接受風險來調整。"
"關於營運持續規劃階段，下列何者較正確？","規劃時須將所有系統納入","以現有系統資源規劃持續營運","規劃階段即須納入資訊安全考量","規劃僅考慮同地備援即可",0,"C","營運持續規劃必須將資訊安全納入考量，以確保業務不中斷。"
"關於資訊處理設施備援規劃，下列何者錯誤？","依中斷時間要求備妥設施","備援規劃需考慮其他支援設施","備援規劃可不考慮機密性或完整性","備援設備需定期確認可用性",0,"C","備援規劃除了可用性，機密性與完整性亦必須納入考量。"
"A 公司 RPO 設定為 4 小時，下列何項最適合其備份週期？","每 2 小時備份","每日備份","每 8 小時備份","每週備份",0,"A","為滿足 4 小時 RPO，備份間隔必須短於該時間，建議每 2 小時備份一次。"
"組織遇資安事件需尋找替代場地，下列何者較正確？","冷備援：設備齊備，依需求回復","暖備援：異地備援，資料載入後投入營運","熱備援：提供基本設備，須自行安裝系統","行動備援：移動車輛中裝設備，能迅速啟用",0,"D","行動備援站點能在緊急情況下迅速部署，具高度彈性與機動性。"
